x,y,z,a,b,c
11733368.00000000,6983343.00000000,332.26199341,-0.496145,-0.089052,0.863661
11733363.00000000,6983342.50000000,331.32400513,-0.364654,-0.098958,0.925870
11733357.00000000,6983342.00000000,330.55599976,-0.240530,-0.095448,0.965937
11733365.00000000,6983340.00000000,330.76599121,-0.406005,-0.106697,0.907621
11733345.00000000,6983343.00000000,329.64401245,-0.105413,-0.089196,0.990420
11733352.00000000,6983341.00000000,330.16900635,-0.172139,-0.096447,0.980340
11733360.00000000,6983339.50000000,330.56298828,-0.285113,-0.106425,0.952567
11733367.00000000,6983337.50000000,330.68099976,-0.457530,-0.109071,0.882480
11733375.00000000,6983343.00000000,350.75900269,-0.716925,-0.067798,0.693845
11733343.00000000,6983342.00000000,329.43399048,-0.087739,-0.085460,0.992471
11733350.00000000,6983340.00000000,330.01800537,-0.150518,-0.097536,0.983784
11733358.00000000,6983338.00000000,330.42498779,-0.252312,-0.109982,0.961375
11733366.00000000,6983336.00000000,330.62200928,-0.435203,-0.104952,0.894194
11733335.00000000,6983342.50000000,328.78500366,-0.013939,-0.086853,0.996124
11733342.00000000,6983340.50000000,329.30899048,-0.077642,-0.082143,0.993592
11733350.00000000,6983338.50000000,329.93301392,-0.147463,-0.097110,0.984289
11733358.00000000,6983336.50000000,330.34600830,-0.251686,-0.109709,0.961571
11733365.00000000,6983334.50000000,330.55599976,-0.411886,-0.101238,0.905594
11733373.00000000,6983339.50000000,349.43399048,-0.723027,-0.089100,0.685050
11733341.00000000,6983339.50000000,329.10000610,-0.070453,-0.081636,0.994169
11733348.00000000,6983337.50000000,329.73599243,-0.123355,-0.092810,0.988013
11733357.00000000,6983335.50000000,330.28698730,-0.233652,-0.105973,0.966528
11733364.00000000,6983333.50000000,330.52301025,-0.387747,-0.097279,0.916618
11733372.00000000,6983338.00000000,348.35800171,-0.717319,-0.089117,0.691022
11733338.00000000,6983338.50000000,328.81698608,-0.049602,-0.082670,0.995342
11733346.00000000,6983336.50000000,329.45401001,-0.097452,-0.083694,0.991715
11733353.00000000,6983335.00000000,330.04400635,-0.175260,-0.101725,0.979253
11733361.00000000,6983333.00000000,330.39199829,-0.314656,-0.099575,0.943968
